keys,en,pt,it,zh,ko,ja,sh,gm,fr,pl,tu
CENTER_WARNING,[center]PRESS [img]res://assets/images/icons/keyboard_c.png[/img] TO CENTER[/center],[center]PRESSIONE [img]res://assets/images/icons/keyboard_c.png[/img] PARA CENTRALIZAR[/center],[center]PREMI [img]res://assets/images/icons/keyboard_c.png[/img] PER CENTRARE[/center],[center]押して [img]res://assets/images/icons/keyboard_c.png[/img] で中央揃え[/center],[center]가운데 정렬을 위해 [img]res://assets/images/icons/keyboard_c.png[/img] 키를 누르세요[/center],[center]押して [img]res://assets/images/icons/keyboard_c.png[/img] で中央揃え[/center],[center]PRESIONA [img]res://assets/images/icons/keyboard_c.png[/img] PARA CENTRAR[/center],[center]DRÜCKE [img]res://assets/images/icons/keyboard_c.png[/img] ZUM ZENTRIEREN[/center],[center]APPUIE SUR [img]res://assets/images/icons/keyboard_c.png[/img] POUR CENTRER[/center],[center]NACIŚNIJ [img]res://assets/images/icons/keyboard_c.png[/img] BY CENTROWAĆ[/center],[center][img]res://assets/images/icons/keyboard_c.png[/img] İLE ORTALA'YA BAS[/center]
WHEAT,Wheat,Trigo,Grano,小麦,밀,小麦,Trigo,Weizen,Blé,Pszenica,Buğday
CARROT,Carrot,Cenoura,Carota,胡萝卜,당근,人参,Zanahoria,Karotte,Carotte,Marchew,Havuç
CARROT_DESCRIPTION,-1 {WATER} cost to {ANIMALS} on adjacent islands,-1 de custo de {WATER} para {ANIMALS} em ilhas adjacentes,-1 costo di {WATER} per gli {ANIMALS} nelle isole adiacenti,相邻岛屿上的{ANIMALS}减少1 {WATER} 消耗,인접한 섬의 {ANIMALS}에게 {WATER} 비용 -1,隣接する島の{ANIMALS}の{WATER}コスト-1,-1 costo de {WATER} para {ANIMALS} en islas adyacentes,-1 {WATER} Kosten für {ANIMALS} auf benachbarten Inseln,-1 coût en {WATER} aux {ANIMAL} sur les îles adjacentes,-1 koszt {WATER} dla {ANIMALS} na sąsiednich wyspach,Bitişik adalardaki {ANIMALS} için -1 {WATER} maliyeti
OLIVE_TREE,Olive Tree,Oliveira,Albero di ulivo,橄榄树,올리브 나무,オリーブの木,Olivo,Olivenbaum,Olivier,Drzewo oliwne,Zeytin Ağacı
OLIVE_TREE_DESCRIPTION,Adjacent island {PLANT_WHEAT} {WATER} cost is 0,Custo de {WATER} de {PLANT_WHEAT} em ilhas adjacentes é 0,L'isola adiacente ha costo di {WATER} 0 per {PLANT_WHEAT},相邻岛屿上的{PLANT_WHEAT} {WATER} 消耗为0,인접한 섬의 {PLANT_WHEAT} {WATER} 비용은 0,隣接する島の{PLANT_WHEAT}の{WATER}コストは0,Costo de {WATER} de la isla adyacente {PLANT_WHEAT} es 0,Benachbarte Insel {PLANT_WHEAT} {WATER} Kosten betragen 0,Le coût en {WATER} du {PLANT_WHEAT} sur les îles adjacentes est de 0,Koszt {WATER} dla sąsiedniej wyspy z {PLANT_WHEAT} wynosi 0,Bitişik adadaki {PLANT_WHEAT} {WATER} maliyeti 0
SUGARCANE,Sugarcane,Cana-de-açúcar,Canna da zucchero,甘蔗,사탕수수,サトウキビ,Caña de azúcar,Zuckerrohr,Canne à sucre,Trzcina cukrowa,Şeker Kamışı
SUGARCANE_DESCRIPTION,+5 {PRODUCTION} and +5 {WATER} cost per adjacent island {STRUCTURES}\n+2 {PRODUCTION} and +2 {WATER} cost per {GROUP_COWS} in 2 island range,+5 de {PRODUCTION} e +5 de custo de {WATER} por {STRUCTURES} em ilhas adjacentes\n+2 {PRODUCTION} e +2 de custo de {WATER} por {GROUP_COWS} em 2 ilhas de distância,+5 {PRODUCTION} e +5 costo di {WATER} per ogni {STRUCTURES} nelle isole adiacenti\n+2 {PRODUCTION} e +2 costo di {WATER} per ogni {GROUP_COWS} nel raggio di 2 isole,相邻岛屿的{STRUCTURES}每个+5 {PRODUCTION}和+5 {WATER}成本\n2个岛屿范围内的每个{GROUP_COWS}+2 {PRODUCTION}和+2 {WATER}成本,인접한 섬의 {STRUCTURES}마다 +5 {PRODUCTION} 및 +5 {WATER} 비용\n2개 섬 범위 내의 {GROUP_COWS}마다 +2 {PRODUCTION} 및 +2 {WATER} 비용,隣接する島の{STRUCTURES}ごとに+5 {PRODUCTION}および+5 {WATER}のコスト\n2島の範囲内の{GROUP_COWS}ごとに+2 {PRODUCTION}および+2 {WATER}のコスト,+5 {PRODUCTION} y +5 de costo de {WATER} por cada {STRUCTURES} en islas adyacentes\n+2 {PRODUCTION} y +2 de costo de {WATER} por cada {GROUP_COWS} en un rango de 2 islas,+5 {PRODUCTION} und +5 {WATER} Kosten pro {STRUCTURES} auf benachbarten Inseln\n+2 {PRODUCTION} und +2 {WATER} Kosten pro {GROUP_COWS} in 2 Inseln Reichweite,+5 {PRODUCTION} et +5 de coût de {WATER} par {STRUCTURES} sur les îles adjacentes\n+2 {PRODUCTION} et +2 de coût de {WATER} par {GROUP_COWS} dans une portée de 2 îles,+5 {PRODUCTION} i +5 kosztów {WATER} na każdą {STRUCTURES} na sąsiednich wyspach\n+2 {PRODUCTION} i +2 koszty {WATER} na każde {GROUP_COWS} w zasięgu 2 wysp,Her bitişik adadaki {STRUCTURES} için +5 {PRODUCTION} ve +5 {WATER} maliyeti\n2 adalık menzildeki her {GROUP_COWS} için +2 {PRODUCTION} ve +2 {WATER} maliyeti
BLUE_WHEAT,Blue Wheat,Elétrigo,Grano Blu,蓝小麦,푸른 밀,青い小麦,Trigo azul,Blauer Weizen,Blé bleu,Niebieska pszenica,Mavi Buğday
BLUE_WHEAT_DESCRIPTION,If fed to a {ANIMAL_CHICKEN} it gives a {ITEM_ELECTRIC_EGG} and 40 {ENERGY}\n+1 {ENERGY} per adjacent island {PLANT_SUNFLOWER},Se alimentado a uma {ANIMAL_CHICKEN} produz 40 {ENERGY} e um {ITEM_ELECTRIC_EGG}\n+1 de {ENERGY} para cada {PLANT_SUNFLOWER} em ilhas adjacentes,Se dato a un {ANIMAL_CHICKEN} produce un {ITEM_ELECTRIC_EGG} e 40 {ENERGY}\n+1 {ENERGY} per ogni {PLANT_SUNFLOWER} sull'isola adiacente,如果喂给{ANIMAL_CHICKEN}，它会产出一个{ITEM_ELECTRIC_EGG}和40 {ENERGY}\n与相邻岛屿的{PLANT_SUNFLOWER}每个增加+1 {ENERGY},{ANIMAL_CHICKEN}에게 주면 {ITEM_ELECTRIC_EGG}와 40 {ENERGY}를 얻습니다.\n인접한 섬의 {PLANT_SUNFLOWER} 당 +1 {ENERGY},{ANIMAL_CHICKEN}に与えると、{ITEM_ELECTRIC_EGG}と40{ENERGY}を得る\n隣接する島の{PLANT_SUNFLOWER}ごとに+1{ENERGY},Si se alimenta a un {ANIMAL_CHICKEN} otorga un {ITEM_ELECTRIC_EGG} y 40 {ENERGY}\n +1 {ENERGY} por cada isla adyacente con {PLANT_SUNFLOWER},"Wenn es einem {ANIMAL_CHICKEN} gefüttert wird, gibt es ein {ITEM_ELECTRIC_EGG} und 40 {ENERGY}\n +1 {ENERGY} pro benachbarte Insel {PLANT_SUNFLOWER}",Si nourri à un {ANIMAL_CHICKEN} il donne un {ITEM_ELECTRIC_EGG} et 40 {ENERGY}\n+1 {ENERGY} par {PLANT_SUNFLOWER} sur les îles adjacentes,Jeśli podasz to {ANIMAL_CHICKEN} dostajesz {ITEM_ELECTRIC_EGG} i 40 {ENERGY}\n+1 {ENERGY} za każdy {PLANT_SUNFLOWER} na sąsiedniej wyspie,Bir {ANIMAL_CHICKEN}'a beslendiğinde {ITEM_ELECTRIC_EGG} verir ve 40 {ENERGY} sağlar\nBitişik adada her {PLANT_SUNFLOWER} için +1 {ENERGY}
